Region,Region_Name,Period,Secondary Culture,Area (ha),Culture,Cultivation practices,Type of crop,Sowing method,Sowing method name,Variety Name,Variety type,Variety type name,Variety cycle,Cultivation conditions,Cultivation_condition,Cause of poor conditions,Quantity of seeds used (kg),Classified seed quantity (kg),Type of spacing,Type of irrigation,Type of irrigation name,Quantity of organic fertiliser (kg),Quantity of chemical fertiliser (kg),Quantity of plant protection product (L),Agricultural Equipment,Agricultural Equipment Name,Harvester used,Destination production,Destination production name,Technical support,Technical support name,Estimated production (tonnes),Number of growing days,Dry weight (g/m2) /1001,Humidity level/10 (%),Weight of rice without moisture (g/m2) /1000,Yield (T/Ha)
5,Vatovavy,1,0,0.78,1,1,1,4,Direct row sowing,63,2,Local/traditional variety,2,3,Average,2,55,1,2,3,Rain water irrigation,60.84,15.6,7.02,1,Manual Equipment,2,1,Sale,2,Seed Donation,2.34,69,0.014976,0.12,0.014958029,0.149580288
1,Bongolava,2,0,1.15,1,1,2,2,In-line transplanting,31,2,Local/traditional variety,1,3,Average,3,64,1,3,2,Motorised irrigation,123.05,95.45,10.35,2,Animal Drawn Equipment,1,3,Both,1,Financial aid,5.75,88,0.02208,0.22,0.022031424,0.22031424
1,Bongolava,2,0,4.66,1,1,3,2,In-line transplanting,43,2,Local/traditional variety,2,5,Very Good,0,123,2,3,2,Motorised irrigation,596.48,368.14,41.94,2,Animal Drawn Equipment,1,2,Self-Consumption,1,Financial aid,23.3,165,0.524716,0.16,0.523876454,5.238764544
5,Vatovavy,1,0,0.93,1,1,1,4,Direct row sowing,4,2,Local/traditional variety,2,1,Very poor,2,59,1,1,3,Rain water irrigation,30.69,5.58,1.86,1,Manual Equipment,2,2,Self-Consumption,1,Financial aid,2.79,84,0.017856,0.22,0.017816717,0.178167168
1,Bongolava,2,0,1.44,1,1,2,1,Random transplanting,46,2,Local/traditional variety,2,5,Very Good,0,35,1,4,2,Motorised irrigation,141.12,97.92,12.96,2,Animal Drawn Equipment,1,2,Self-Consumption,2,Seed Donation,4.32,91,0.027648,0.15,0.027606528,0.27606528
1,Bongolava,2,0,2.92,1,1,2,3,Broadcast sowing,18,1,Improved seed,3,2,Poor,2,103,2,3,1,Gravity irrigation,78.84,40.88,2.92,2,Animal Drawn Equipment,1,3,Both,1,Financial aid,8.76,135,0.328792,0.2,0.328134416,3.28134416
1,Bongolava,2,0,3.84,1,1,2,1,Random transplanting,10,2,Local/traditional variety,1,5,Very Good,0,178,2,4,1,Gravity irrigation,153.6,299.52,23.04,2,Animal Drawn Equipment,1,2,Self-Consumption,1,Financial aid,11.52,106,0.432384,0.13,0.431821901,4.318219008
4,Boeny,1,0,0.29,1,1,1,1,Random transplanting,39,2,Local/traditional variety,1,3,Average,2,16,1,3,3,Rain water irrigation,28.71,29.29,2.32,1,Manual Equipment,2,1,Sale,1,Financial aid,1.45,31,0.05568,0.36,0.055479552,0.55479552
4,Boeny,1,0,0.46,1,1,1,3,Broadcast sowing,16,2,Local/traditional variety,1,2,Poor,3,17,1,3,3,Rain water irrigation,28.52,40.94,3.68,1,Manual Equipment,2,1,Sale,2,Seed Donation,1.38,86,0.08832,0.36,0.088002048,0.88002048
3,Diana,2,0,2.54,1,1,3,1,Random transplanting,62,2,Local/traditional variety,2,1,Very poor,3,90,1,3,1,Gravity irrigation,317.5,187.96,22.86,2,Animal Drawn Equipment,1,3,Both,3,Training,10.16,147,0.286004,0.18,0.285489193,2.854891928
2,Itasy,2,0,3,1,1,3,4,Direct row sowing,57,2,Local/traditional variety,2,2,Poor,3,230,3,2,2,Motorised irrigation,51,261,18,2,Animal Drawn Equipment,1,2,Self-Consumption,5,Vulgarisation,12,91,0.3378,0.17,0.33722574,3.3722574
5,Vatovavy,1,0,0.74,1,1,1,3,Broadcast sowing,33,2,Local/traditional variety,2,2,Poor,3,43,1,4,3,Rain water irrigation,56.98,32.56,1.48,1,Manual Equipment,2,1,Sale,1,Financial aid,2.22,24,0.014208,0.1,0.014193792,0.14193792
5,Vatovavy,1,0,0.18,1,1,1,2,In-line transplanting,9,2,Local/traditional variety,1,1,Very poor,2,8,1,4,3,Rain water irrigation,25.02,6.84,1.8,1,Manual Equipment,2,1,Sale,1,Financial aid,0.72,42,0.03456,0.17,0.034501248,0.34501248
5,Vatovavy,1,0,0.35,1,1,1,3,Broadcast sowing,27,2,Local/traditional variety,2,1,Very poor,2,17,1,4,3,Rain water irrigation,28,30.1,0.7,1,Manual Equipment,2,1,Sale,2,Seed Donation,1.05,43,0.0672,0.18,0.06707904,0.6707904
3,Diana,2,0,2.24,1,1,3,3,Broadcast sowing,53,2,Local/traditional variety,2,1,Very poor,2,57,1,4,1,Gravity irrigation,94.08,226.24,8.96,2,Animal Drawn Equipment,1,3,Both,3,Training,6.72,108,0.043008,0.2,0.042921984,0.42921984
4,Boeny,1,0,0.28,1,1,1,3,Broadcast sowing,27,2,Local/traditional variety,2,2,Poor,3,10,1,4,3,Rain water irrigation,14.28,25.2,1.96,1,Manual Equipment,2,1,Sale,2,Seed Donation,0.84,72,0.05376,0.19,0.053657856,0.53657856
3,Diana,2,0,2.43,1,1,2,2,In-line transplanting,22,2,Local/traditional variety,1,2,Poor,3,142,2,3,1,Gravity irrigation,191.97,233.28,21.87,2,Animal Drawn Equipment,1,3,Both,2,Seed Donation,12.15,126,0.046656,0.1,0.046609344,0.46609344
5,Vatovavy,1,0,0.6,1,1,1,3,Broadcast sowing,53,2,Local/traditional variety,2,3,Average,2,28,1,4,3,Rain water irrigation,33.6,28.8,1.8,1,Manual Equipment,2,1,Sale,2,Seed Donation,2.4,49,0.01152,0.17,0.011500416,0.11500416
2,Itasy,2,0,2.47,1,1,2,3,Broadcast sowing,19,1,Improved seed,3,5,Very Good,0,61,1,3,2,Motorised irrigation,130.91,39.52,22.23,2,Animal Drawn Equipment,1,2,Self-Consumption,4,Support/Advice,12.35,156,0.047424,0.19,0.047333894,0.473338944
1,Bongolava,2,0,6.08,1,1,2,1,Random transplanting,44,2,Local/traditional variety,2,2,Poor,2,233,3,4,1,Gravity irrigation,680.96,30.4,24.32,2,Animal Drawn Equipment,1,2,Self-Consumption,0,None,18.24,83,0.684608,0.14,0.683649549,6.836495488
4,Boeny,1,0,0.37,1,1,1,1,Random transplanting,12,2,Local/traditional variety,2,1,Very poor,2,18,1,3,3,Rain water irrigation,4.44,11.47,1.85,1,Manual Equipment,2,1,Sale,2,Seed Donation,1.85,54,0.07104,0.1,0.07096896,0.7096896
4,Boeny,1,0,0.91,1,1,1,4,Direct row sowing,34,2,Local/traditional variety,2,2,Poor,3,75,1,1,3,Rain water irrigation,37.31,25.48,3.64,1,Manual Equipment,2,2,Self-Consumption,1,Financial aid,2.73,74,0.017472,0.18,0.01744055,0.174405504
3,Diana,2,0,1.7,1,1,2,1,Random transplanting,19,1,Improved seed,3,3,Average,2,49,1,4,2,Motorised irrigation,86.7,11.9,6.8,2,Animal Drawn Equipment,1,2,Self-Consumption,2,Seed Donation,6.8,161,0.03264,0.14,0.032594304,0.32594304
4,Boeny,1,0,0.83,1,1,1,4,Direct row sowing,13,2,Local/traditional variety,2,3,Average,2,65,1,2,3,Rain water irrigation,18.26,15.77,1.66,1,Manual Equipment,2,1,Sale,2,Seed Donation,4.15,86,0.015936,0.13,0.015915283,0.159152832
5,Vatovavy,1,0,0.15,1,1,1,4,Direct row sowing,48,2,Local/traditional variety,1,2,Poor,2,15,1,1,3,Rain water irrigation,16.65,15.3,1.2,1,Manual Equipment,2,1,Sale,1,Financial aid,0.6,30,0.0288,0.11,0.02876832,0.2876832
5,Vatovavy,1,0,0.52,1,1,1,4,Direct row sowing,8,2,Local/traditional variety,2,2,Poor,3,38,1,1,3,Rain water irrigation,65,33.8,0.52,1,Manual Equipment,2,1,Sale,2,Seed Donation,1.56,52,0.09984,0.2,0.09964032,0.9964032
3,Diana,2,0,1.58,1,1,3,3,Broadcast sowing,12,2,Local/traditional variety,2,3,Average,2,53,1,4,1,Gravity irrigation,188.02,26.86,7.9,2,Animal Drawn Equipment,1,3,Both,1,Financial aid,4.74,200,0.030336,0.18,0.030281395,0.302813952
5,Vatovavy,1,0,0.31,1,1,1,2,In-line transplanting,59,2,Local/traditional variety,2,1,Very poor,2,7,1,4,3,Rain water irrigation,33.48,12.09,2.17,1,Manual Equipment,2,1,Sale,2,Seed Donation,1.24,51,0.05952,0.18,0.059412864,0.59412864
2,Itasy,2,0,2.39,1,1,2,3,Broadcast sowing,54,2,Local/traditional variety,2,4,Good,0,86,1,3,1,Gravity irrigation,69.31,174.47,11.95,2,Animal Drawn Equipment,1,2,Self-Consumption,3,Training,7.17,160,0.045888,0.23,0.045782458,0.457824576
3,Diana,2,0,3.74,1,1,3,2,In-line transplanting,9,2,Local/traditional variety,1,2,Poor,2,100,1,4,1,Gravity irrigation,534.82,108.46,3.74,2,Animal Drawn Equipment,1,2,Self-Consumption,4,Support/Advice,14.96,167,0.421124,0.21,0.42023964,4.202396396
2,Itasy,2,0,3.96,1,1,3,3,Broadcast sowing,47,2,Local/traditional variety,2,4,Good,0,91,1,4,1,Gravity irrigation,158.4,411.84,19.8,2,Animal Drawn Equipment,1,2,Self-Consumption,5,Vulgarisation,19.8,180,0.445896,0.23,0.444870439,4.448704392
1,Bongolava,2,0,2.61,1,1,2,4,Direct row sowing,38,2,Local/traditional variety,2,2,Poor,3,165,2,1,2,Motorised irrigation,386.28,240.12,2.61,2,Animal Drawn Equipment,1,3,Both,2,Seed Donation,7.83,188,0.293886,0.18,0.293357005,2.933570052
2,Itasy,2,0,4.61,1,1,3,3,Broadcast sowing,14,2,Local/traditional variety,2,4,Good,0,178,2,3,2,Motorised irrigation,543.98,387.24,23.05,3,Motorized Equipment,1,2,Self-Consumption,3,Training,18.44,191,0.519086,0.16,0.518255462,5.182554624
1,Bongolava,2,0,3.61,1,1,2,1,Random transplanting,27,2,Local/traditional variety,2,5,Very Good,0,92,1,3,1,Gravity irrigation,364.61,382.66,36.1,2,Animal Drawn Equipment,1,2,Self-Consumption,3,Training,18.05,99,0.406486,0.18,0.405754325,4.057543252
1,Bongolava,2,0,2.36,1,1,2,4,Direct row sowing,33,2,Local/traditional variety,2,4,Good,0,213,3,1,1,Gravity irrigation,257.24,257.24,16.52,2,Animal Drawn Equipment,1,2,Self-Consumption,3,Training,11.8,118,0.045312,0.18,0.045230438,0.452304384
2,Itasy,2,0,1.52,1,1,2,1,Random transplanting,53,2,Local/traditional variety,2,4,Good,0,72,1,4,2,Motorised irrigation,132.24,159.6,9.12,2,Animal Drawn Equipment,1,2,Self-Consumption,2,Seed Donation,7.6,138,0.029184,0.18,0.029131469,0.291314688
3,Diana,2,0,2.86,1,1,2,2,In-line transplanting,14,2,Local/traditional variety,2,2,Poor,2,152,2,3,2,Motorised irrigation,57.2,74.36,22.88,2,Animal Drawn Equipment,1,3,Both,2,Seed Donation,8.58,95,0.322036,0.18,0.321456335,3.214563352
5,Vatovavy,1,0,0.17,1,1,1,1,Random transplanting,28,2,Local/traditional variety,1,2,Poor,2,7,1,3,3,Rain water irrigation,9.86,11.05,1.7,1,Manual Equipment,2,1,Sale,1,Financial aid,0.51,63,0.03264,0.18,0.032581248,0.32581248
5,Vatovavy,1,0,0.84,1,1,1,3,Broadcast sowing,45,2,Local/traditional variety,1,3,Average,2,18,1,4,3,Rain water irrigation,36.12,51.24,5.04,1,Manual Equipment,2,1,Sale,1,Financial aid,3.36,26,0.016128,0.21,0.016094131,0.160941312
1,Bongolava,2,0,3.44,1,1,2,3,Broadcast sowing,34,2,Local/traditional variety,2,3,Average,3,158,2,4,2,Motorised irrigation,436.88,196.08,10.32,2,Animal Drawn Equipment,1,3,Both,1,Financial aid,17.2,155,0.387344,0.18,0.386646781,3.866467808
1,Bongolava,2,0,1.47,1,1,3,1,Random transplanting,38,2,Local/traditional variety,2,3,Average,3,85,1,4,1,Gravity irrigation,199.92,7.35,4.41,2,Animal Drawn Equipment,1,3,Both,2,Seed Donation,4.41,186,0.028224,0.23,0.028159085,0.281590848
3,Diana,2,0,2.01,1,1,2,4,Direct row sowing,6,2,Local/traditional variety,2,3,Average,3,151,2,2,2,Motorised irrigation,126.63,30.15,8.04,2,Animal Drawn Equipment,1,3,Both,2,Seed Donation,6.03,180,0.038592,0.14,0.038537971,0.385379712
4,Boeny,1,0,0.52,1,1,1,3,Broadcast sowing,57,2,Local/traditional variety,2,1,Very poor,2,15,1,4,3,Rain water irrigation,60.84,10.4,3.12,1,Manual Equipment,2,1,Sale,1,Financial aid,2.08,31,0.09984,0.21,0.099630336,0.99630336
2,Itasy,2,0,4.48,1,1,3,4,Direct row sowing,46,2,Local/traditional variety,2,3,Average,2,407,5,1,2,Motorised irrigation,483.84,416.64,26.88,2,Animal Drawn Equipment,1,2,Self-Consumption,1,Financial aid,13.44,141,0.504448,0.36,0.502631987,5.026319872
1,Bongolava,2,0,2.32,1,1,3,4,Direct row sowing,11,2,Local/traditional variety,2,3,Average,2,206,3,1,2,Motorised irrigation,78.88,132.24,9.28,2,Animal Drawn Equipment,1,2,Self-Consumption,2,Seed Donation,6.96,147,0.044544,0.19,0.044459366,0.444593664
5,Vatovavy,1,0,0.26,1,1,1,2,In-line transplanting,48,2,Local/traditional variety,1,1,Very poor,2,12,1,3,3,Rain water irrigation,32.5,2.86,1.04,1,Manual Equipment,2,1,Sale,1,Financial aid,1.04,33,0.04992,0.18,0.049830144,0.49830144
3,Diana,2,0,3.42,1,1,3,4,Direct row sowing,8,2,Local/traditional variety,2,3,Average,2,269,3,2,2,Motorised irrigation,242.82,85.5,6.84,2,Animal Drawn Equipment,1,2,Self-Consumption,4,Support/Advice,10.26,102,0.385092,0.17,0.384437344,3.844373436
2,Itasy,2,0,1.62,1,1,2,4,Direct row sowing,46,2,Local/traditional variety,2,4,Good,0,145,2,1,2,Motorised irrigation,56.7,110.16,3.24,2,Animal Drawn Equipment,1,3,Both,2,Seed Donation,6.48,186,0.031104,0.14,0.031060454,0.310604544
3,Diana,2,0,2.95,1,1,2,2,In-line transplanting,4,2,Local/traditional variety,2,1,Very poor,2,130,2,4,1,Gravity irrigation,280.25,227.15,8.85,2,Animal Drawn Equipment,1,3,Both,4,Support/Advice,11.8,93,0.33217,0.11,0.331804613,3.31804613
2,Itasy,2,0,3.42,1,1,2,3,Broadcast sowing,22,2,Local/traditional variety,1,5,Very Good,0,192,2,4,1,Gravity irrigation,88.92,164.16,27.36,2,Animal Drawn Equipment,1,2,Self-Consumption,3,Training,10.26,187,0.385092,0.11,0.384668399,3.846683988
2,Itasy,2,0,4.74,1,1,3,3,Broadcast sowing,1,2,Local/traditional variety,2,2,Poor,2,109,2,3,1,Gravity irrigation,336.54,388.68,37.92,2,Animal Drawn Equipment,1,2,Self-Consumption,3,Training,14.22,130,0.533724,0.22,0.532549807,5.325498072
1,Bongolava,2,0,2.24,1,1,3,4,Direct row sowing,21,2,Local/traditional variety,1,3,Average,3,220,3,1,1,Gravity irrigation,105.28,168,17.92,2,Animal Drawn Equipment,1,2,Self-Consumption,2,Seed Donation,8.96,176,0.043008,0.18,0.042930586,0.429305856
3,Diana,2,0,2.25,1,1,3,4,Direct row sowing,5,2,Local/traditional variety,2,2,Poor,2,180,2,2,1,Gravity irrigation,299.25,4.5,20.25,2,Animal Drawn Equipment,1,3,Both,3,Training,11.25,134,0.0432,0.2,0.0431136,0.431136
3,Diana,2,0,1.83,1,1,3,3,Broadcast sowing,26,2,Local/traditional variety,1,1,Very poor,3,44,1,3,2,Motorised irrigation,226.92,89.67,18.3,2,Animal Drawn Equipment,1,3,Both,1,Financial aid,5.49,80,0.035136,0.22,0.035058701,0.350587008
5,Vatovavy,1,0,0.87,1,1,1,1,Random transplanting,40,2,Local/traditional variety,2,2,Poor,2,45,1,3,3,Rain water irrigation,123.54,12.18,5.22,1,Manual Equipment,2,1,Sale,1,Financial aid,3.48,87,0.016704,0.18,0.016673933,0.166739328
5,Vatovavy,1,0,0.48,1,1,1,3,Broadcast sowing,50,2,Local/traditional variety,2,1,Very poor,3,14,1,3,3,Rain water irrigation,59.52,52.32,1.92,1,Manual Equipment,2,1,Sale,1,Financial aid,1.44,54,0.09216,0.11,0.092058624,0.92058624
1,Bongolava,2,0,1.75,1,1,2,3,Broadcast sowing,43,2,Local/traditional variety,2,3,Average,3,40,1,3,1,Gravity irrigation,33.25,155.75,10.5,2,Animal Drawn Equipment,1,2,Self-Consumption,1,Financial aid,5.25,163,0.0336,0.17,0.03354288,0.3354288
1,Bongolava,2,0,5.91,1,1,3,4,Direct row sowing,23,2,Local/traditional variety,2,2,Poor,3,461,5,1,1,Gravity irrigation,750.57,141.84,59.1,3,Motorized Equipment,1,2,Self-Consumption,4,Support/Advice,29.55,80,0.665466,0.21,0.664068521,6.640685214
4,Boeny,1,0,0.88,1,1,1,4,Direct row sowing,40,2,Local/traditional variety,2,1,Very poor,2,59,1,2,3,Rain water irrigation,22.88,53.68,5.28,1,Manual Equipment,2,1,Sale,2,Seed Donation,4.4,32,0.016896,0.23,0.016857139,0.168571392
5,Vatovavy,1,0,0.17,1,1,1,3,Broadcast sowing,16,2,Local/traditional variety,1,2,Poor,3,9,1,4,3,Rain water irrigation,12.41,1.53,0.17,1,Manual Equipment,2,1,Sale,1,Financial aid,0.51,34,0.03264,0.1,0.03260736,0.3260736
2,Itasy,2,0,2.14,1,1,3,4,Direct row sowing,59,2,Local/traditional variety,2,2,Poor,3,200,2,1,2,Motorised irrigation,113.42,128.4,2.14,2,Animal Drawn Equipment,1,2,Self-Consumption,3,Training,6.42,141,0.041088,0.15,0.041026368,0.41026368
3,Diana,2,0,1.78,1,1,2,3,Broadcast sowing,54,2,Local/traditional variety,2,3,Average,2,55,1,4,1,Gravity irrigation,158.42,174.44,5.34,2,Animal Drawn Equipment,1,3,Both,1,Financial aid,8.9,142,0.034176,0.1,0.034141824,0.34141824
1,Bongolava,2,0,3.09,1,1,3,1,Random transplanting,7,2,Local/traditional variety,2,3,Average,3,133,2,3,2,Motorised irrigation,213.21,55.62,30.9,2,Animal Drawn Equipment,1,2,Self-Consumption,5,Vulgarisation,12.36,87,0.347934,0.18,0.347307719,3.473077188
3,Diana,2,0,2.89,1,1,3,4,Direct row sowing,38,2,Local/traditional variety,2,2,Poor,3,238,3,2,1,Gravity irrigation,184.96,289,5.78,2,Animal Drawn Equipment,1,3,Both,3,Training,11.56,171,0.325414,0.12,0.325023503,3.250235032
3,Diana,2,0,1.91,1,1,3,2,In-line transplanting,58,1,Improved seed,1,1,Very poor,2,74,1,3,2,Motorised irrigation,240.66,55.39,3.82,2,Animal Drawn Equipment,1,2,Self-Consumption,1,Financial aid,5.73,87,0.036672,0.15,0.036616992,0.36616992
4,Boeny,1,0,0.24,1,1,1,3,Broadcast sowing,27,2,Local/traditional variety,2,3,Average,2,6,1,4,3,Rain water irrigation,28.08,23.04,1.68,1,Manual Equipment,2,1,Sale,1,Financial aid,0.96,83,0.04608,0.18,0.045997056,0.45997056
5,Vatovavy,1,0,0.87,1,1,1,3,Broadcast sowing,50,2,Local/traditional variety,2,3,Average,2,23,1,3,3,Rain water irrigation,85.26,89.61,6.09,1,Manual Equipment,2,1,Sale,1,Financial aid,3.48,69,0.016704,0.36,0.016643866,0.166438656
1,Bongolava,2,0,1.69,1,1,2,3,Broadcast sowing,19,1,Improved seed,3,5,Very Good,0,38,1,4,1,Gravity irrigation,113.23,128.44,13.52,2,Animal Drawn Equipment,1,3,Both,1,Financial aid,8.45,90,0.032448,0.36,0.032331187,0.323311872
3,Diana,2,0,1.99,1,1,3,1,Random transplanting,33,2,Local/traditional variety,2,3,Average,2,86,1,3,2,Motorised irrigation,83.58,69.65,13.93,2,Animal Drawn Equipment,1,3,Both,2,Seed Donation,5.97,172,0.038208,0.22,0.038123942,0.381239424
1,Bongolava,2,0,5.74,1,1,3,2,In-line transplanting,21,2,Local/traditional variety,1,2,Poor,2,202,3,4,2,Motorised irrigation,430.5,68.88,22.96,3,Motorized Equipment,1,2,Self-Consumption,5,Vulgarisation,17.22,101,0.646324,0.13,0.645483779,6.454837788
2,Itasy,2,0,4.88,1,1,3,1,Random transplanting,40,2,Local/traditional variety,2,4,Good,0,251,3,4,1,Gravity irrigation,400.16,492.88,14.64,3,Motorized Equipment,1,2,Self-Consumption,2,Seed Donation,19.52,98,0.549488,0.1,0.548938512,5.48938512
4,Boeny,1,0,0.16,1,1,1,1,Random transplanting,60,2,Local/traditional variety,2,3,Average,3,8,1,3,3,Rain water irrigation,11.68,11.04,0.8,1,Manual Equipment,2,1,Sale,1,Financial aid,0.48,62,0.03072,0.2,0.03065856,0.3065856
2,Itasy,2,0,4.16,1,1,2,2,In-line transplanting,55,2,Local/traditional variety,2,4,Good,0,168,2,3,1,Gravity irrigation,520,282.88,29.12,2,Animal Drawn Equipment,1,2,Self-Consumption,4,Support/Advice,12.48,150,0.468416,0.15,0.467713376,4.67713376
1,Bongolava,2,0,1.31,1,1,2,1,Random transplanting,21,2,Local/traditional variety,1,4,Good,0,34,1,4,2,Motorised irrigation,108.73,144.1,13.1,2,Animal Drawn Equipment,1,3,Both,2,Seed Donation,5.24,153,0.025152,0.13,0.025119302,0.251193024
1,Bongolava,2,0,4.57,1,1,2,1,Random transplanting,11,2,Local/traditional variety,2,3,Average,3,240,3,4,2,Motorised irrigation,612.38,484.42,9.14,2,Animal Drawn Equipment,1,2,Self-Consumption,2,Seed Donation,18.28,103,0.514582,0.15,0.513810127,5.13810127
5,Vatovavy,1,0,0.21,1,1,1,2,In-line transplanting,5,2,Local/traditional variety,2,1,Very poor,3,12,1,3,3,Rain water irrigation,20.58,22.89,1.89,1,Manual Equipment,2,1,Sale,1,Financial aid,1.05,51,0.04032,0.18,0.040247424,0.40247424
3,Diana,2,0,3.18,1,1,3,1,Random transplanting,47,2,Local/traditional variety,2,3,Average,2,84,1,4,1,Gravity irrigation,410.22,174.9,15.9,2,Animal Drawn Equipment,1,3,Both,2,Seed Donation,9.54,181,0.358068,0.11,0.357674125,3.576741252
3,Diana,2,0,2.45,1,1,3,3,Broadcast sowing,49,2,Local/traditional variety,1,1,Very poor,3,140,2,4,2,Motorised irrigation,357.7,22.05,19.6,2,Animal Drawn Equipment,1,2,Self-Consumption,5,Vulgarisation,12.25,127,0.04704,0.18,0.046955328,0.46955328
2,Itasy,2,0,3.1,1,1,2,1,Random transplanting,39,2,Local/traditional variety,1,3,Average,3,142,2,3,2,Motorised irrigation,254.2,96.1,6.2,2,Animal Drawn Equipment,1,3,Both,4,Support/Advice,12.4,186,0.34906,0.11,0.348676034,3.48676034
4,Boeny,1,0,0.65,1,1,1,4,Direct row sowing,12,2,Local/traditional variety,2,2,Poor,3,40,1,1,3,Rain water irrigation,14.95,30.55,3.25,1,Manual Equipment,2,1,Sale,2,Seed Donation,2.6,86,0.01248,0.18,0.012457536,0.12457536
3,Diana,2,0,3.77,1,1,2,4,Direct row sowing,32,2,Local/traditional variety,2,3,Average,2,296,3,1,1,Gravity irrigation,346.84,271.44,3.77,2,Animal Drawn Equipment,1,2,Self-Consumption,1,Financial aid,15.08,172,0.424502,0.15,0.423865247,4.23865247
5,Vatovavy,1,0,0.63,1,1,1,2,In-line transplanting,42,2,Local/traditional variety,2,1,Very poor,3,35,1,3,3,Rain water irrigation,29.61,39.06,1.26,1,Manual Equipment,2,1,Sale,2,Seed Donation,2.52,31,0.012096,0.14,0.012079066,0.120790656
2,Itasy,2,0,2.77,1,1,2,3,Broadcast sowing,38,2,Local/traditional variety,2,2,Poor,3,84,1,3,1,Gravity irrigation,108.03,229.91,2.77,2,Animal Drawn Equipment,1,2,Self-Consumption,3,Training,11.08,181,0.311902,0.16,0.311402957,3.114029568
2,Itasy,2,0,2.9,1,1,3,2,In-line transplanting,42,2,Local/traditional variety,2,3,Average,2,171,2,4,1,Gravity irrigation,84.1,246.5,29,2,Animal Drawn Equipment,1,3,Both,1,Financial aid,11.6,115,0.32654,0.16,0.326017536,3.26017536
5,Vatovavy,1,0,0.76,1,1,1,4,Direct row sowing,33,2,Local/traditional variety,2,1,Very poor,2,67,1,1,3,Rain water irrigation,23.56,29.64,5.32,1,Manual Equipment,2,1,Sale,2,Seed Donation,3.04,30,0.014592,0.22,0.014559898,0.145598976
4,Boeny,1,0,0.57,1,1,1,1,Random transplanting,58,1,Improved seed,1,2,Poor,3,33,1,4,3,Rain water irrigation,49.02,45.03,0.57,1,Manual Equipment,2,1,Sale,1,Financial aid,2.85,24,0.010944,0.18,0.010924301,0.109243008
5,Vatovavy,1,0,0.98,1,1,1,4,Direct row sowing,42,2,Local/traditional variety,2,3,Average,3,69,1,2,3,Rain water irrigation,65.66,12.74,9.8,1,Manual Equipment,2,2,Self-Consumption,2,Seed Donation,4.9,76,0.018816,0.16,0.018785894,0.187858944
4,Boeny,1,0,0.63,1,1,1,4,Direct row sowing,29,2,Local/traditional variety,2,3,Average,2,40,1,2,3,Rain water irrigation,24.57,3.78,5.04,1,Manual Equipment,2,1,Sale,2,Seed Donation,1.89,65,0.012096,0.14,0.012079066,0.120790656
5,Vatovavy,1,0,0.78,1,1,1,1,Random transplanting,40,2,Local/traditional variety,2,2,Poor,2,21,1,3,3,Rain water irrigation,95.16,61.62,7.8,1,Manual Equipment,2,1,Sale,1,Financial aid,2.34,21,0.014976,0.17,0.014950541,0.149505408
5,Vatovavy,1,0,0.45,1,1,1,2,In-line transplanting,60,2,Local/traditional variety,2,2,Poor,3,9,1,4,3,Rain water irrigation,34.2,34.65,3.15,1,Manual Equipment,2,1,Sale,1,Financial aid,1.35,42,0.0864,0.21,0.08621856,0.8621856
1,Bongolava,2,0,4.86,1,1,3,3,Broadcast sowing,64,2,Local/traditional variety,2,4,Good,0,149,2,4,1,Gravity irrigation,505.44,257.58,43.74,3,Motorized Equipment,1,2,Self-Consumption,3,Training,19.44,137,0.547236,0.18,0.546250975,5.462509752
2,Itasy,2,0,2.78,1,1,2,1,Random transplanting,10,2,Local/traditional variety,1,2,Poor,2,107,2,3,2,Motorised irrigation,252.98,61.16,8.34,2,Animal Drawn Equipment,1,2,Self-Consumption,1,Financial aid,13.9,133,0.313028,0.21,0.312370641,3.123706412
5,Vatovavy,1,0,0.21,1,1,1,1,Random transplanting,14,2,Local/traditional variety,2,1,Very poor,2,12,1,4,3,Rain water irrigation,22.26,17.85,1.05,1,Manual Equipment,2,1,Sale,2,Seed Donation,0.63,28,0.04032,0.17,0.040251456,0.40251456
5,Vatovavy,1,0,0.22,1,1,1,1,Random transplanting,22,2,Local/traditional variety,1,1,Very poor,3,5,1,4,3,Rain water irrigation,32.12,16.28,1.1,1,Manual Equipment,2,1,Sale,1,Financial aid,1.1,33,0.04224,0.36,0.042087936,0.42087936
3,Diana,2,0,1.97,1,1,2,3,Broadcast sowing,18,1,Improved seed,3,1,Very poor,2,76,1,3,1,Gravity irrigation,254.13,202.91,13.79,2,Animal Drawn Equipment,1,2,Self-Consumption,2,Seed Donation,5.91,97,0.037824,0.19,0.037752134,0.377521344
2,Itasy,2,0,4.92,1,1,3,2,In-line transplanting,8,2,Local/traditional variety,2,3,Average,3,167,2,3,2,Motorised irrigation,309.96,83.64,39.36,3,Motorized Equipment,1,2,Self-Consumption,5,Vulgarisation,19.68,151,0.553992,0.1,0.553438008,5.53438008
3,Diana,2,0,3.65,1,1,3,4,Direct row sowing,7,2,Local/traditional variety,2,3,Average,3,355,4,2,2,Motorised irrigation,259.15,372.3,3.65,2,Animal Drawn Equipment,1,2,Self-Consumption,5,Vulgarisation,14.6,183,0.41099,0.15,0.410373515,4.10373515
